<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20090111,102959,115.000000000,40
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,5900
GAZP,0,20090111,102959,115.000000000,230
GAZP,0,20090111,102959,115.000000000,200
GAZP,0,20090111,102959,115.000000000,8000
GAZP,0,20090111,102959,115.000000000,1140
GAZP,0,20090111,102959,115.000000000,1900
GAZP,0,20090111,102959,115.000000000,270
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,30
GAZP,0,20090111,102959,115.000000000,115
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,560
GAZP,0,20090111,102959,115.000000000,400
GAZP,0,20090111,102959,115.000000000,40
GAZP,0,20090111,102959,115.000000000,300
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,263
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,30
GAZP,0,20090111,102959,115.000000000,150
GAZP,0,20090111,102959,115.000000000,400
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,3500
GAZP,0,20090111,102959,115.000000000,50
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,1
GAZP,0,20090111,102959,115.000000000,5
GAZP,0,20090111,102959,115.000000000,700
GAZP,0,20090111,102959,115.000000000,30
GAZP,0,20090111,102959,115.000000000,3
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,70
GAZP,0,20090111,102959,115.000000000,30
GAZP,0,20090111,102959,115.000000000,1000
GAZP,0,20090111,102959,115.000000000,100
GAZP,0,20090111,102959,115.000000000,200
GAZP,0,20090111,102959,115.000000000,20
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,102959,115.000000000,120
GAZP,0,20090111,102959,115.000000000,10
GAZP,0,20090111,102959,115.000000000,5000
GAZP,0,20090111,102959,115.000000000,500
GAZP,0,20090111,103000,115.010000000,1
GAZP,0,20090111,103000,115.010000000,1
GAZP,0,20090111,103000,115.010000000,100
GAZP,0,20090111,103000,115.010000000,200
GAZP,0,20090111,103000,115.010000000,100
GAZP,0,20090111,103000,115.010000000,98
GAZP,0,20090111,103000,115.000000000,100
GAZP,0,20090111,103001,115.010000000,10
GAZP,0,20090111,103001,115.000000000,1847
GAZP,0,20090111,103001,115.000000000,751
GAZP,0,20090111,103001,115.000000000,100
GAZP,0,20090111,103001,115.000000000,5
GAZP,0,20090111,103001,115.000000000,25
GAZP,0,20090111,103001,115.000000000,87
GAZP,0,20090111,103001,115.000000000,913
GAZP,0,20090111,103001,115.000000000,800
GAZP,0,20090111,103001,115.000000000,787
GAZP,0,20090111,103001,115.000000000,2000
GAZP,0,20090111,103001,114.550000000,2000
GAZP,0,20090111,103001,114.500000000,300
GAZP,0,20090111,103001,114.150000000,4913
GAZP,0,20090111,103001,114.150000000,100
GAZP,0,20090111,103001,114.150000000,1000
GAZP,0,20090111,103001,114.150000000,800
GAZP,0,20090111,103001,114.150000000,100
GAZP,0,20090111,103002,114.150000000,100
GAZP,0,20090111,103002,114.150000000,500
GAZP,0,20090111,103002,114.150000000,1000
GAZP,0,20090111,103002,114.150000000,2
GAZP,0,20090111,103002,114.150000000,10
GAZP,0,20090111,103002,114.150000000,22
GAZP,0,20090111,103002,114.150000000,2
